train_name,experiment,test_set,best_model,n_train,n_test,n_features,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
leave_out_ghostbuster,transition_summary_only,hc3_plus_test,random_forest,16204,266,99,0.9443064182194617,0.9665620721848618,0.8263157894736842,0.6521739130434783,0.7763975155279503,0.18576441102756902,0.15685288220551377
leave_out_ghostbuster,transition_summary_only,all_samples,random_forest,16204,300,99,0.5961777777777778,0.5889619652997344,0.6537396121883656,0.05333333333333334,0.10666666666666667,0.14259999999999998,0.26837622222222224
leave_out_ghostbuster,transition_l1_selected,m4_test,random_forest,16204,1965,210,0.9360289546140865,0.9878111977029982,0.9393764434180139,0.5605515587529976,0.7511990407673861,0.033106022052587,0.07141956460277071
leave_out_ghostbuster,transition_l1_selected,ghostbuster_test,random_forest,16204,670,210,0.9166095999853909,0.9383654407693337,0.8399545970488081,0.3669250645994832,0.710594315245478,0.13164676616915427,0.14342970149253734
leave_out_ghostbuster,transition_l1_selected,hc3_plus_test,random_forest,16204,266,210,0.9491570541259983,0.9672000605754583,0.810126582278481,0.5900621118012422,0.7329192546583851,0.20669172932330826,0.16980685045948204
leave_out_ghostbuster,transition_l1_selected,all_samples,random_forest,16204,300,210,0.5718888888888889,0.5604153704486728,0.65,0.006666666666666667,0.05333333333333334,0.14429999999999998,0.27241862962962965
combined_strict,transition_only,m4_test,random_forest,21499,1965,348,0.9188204991562307,0.9830923702685477,0.9394829612220916,0.4748201438848921,0.6516786570743405,0.02466836301950813,0.075117636415041
combined_strict,transition_only,ghostbuster_test,random_forest,21499,670,348,0.9476219172578775,0.9631975840816237,0.8810679611650486,0.4909560723514212,0.8217054263565892,0.09175621890547264,0.10195580431177446
combined_strict,transition_only,hc3_plus_test,random_forest,21499,266,348,0.9422360248447205,0.9637187310555374,0.8337730870712401,0.577639751552795,0.7080745341614907,0.1660651629072682,0.14660392648287385
combined_strict,transition_only,all_samples,random_forest,21499,300,348,0.5972,0.5751395723013646,0.6204819277108434,0.013333333333333334,0.08666666666666667,0.1047888888888889,0.254187962962963
combined_strict,full_without_transition,m4_test,random_forest,21499,1965,276,0.9910909656113494,0.9983412853584541,0.9827483640690066,0.8045563549160671,0.9646282973621103,0.034832909245122876,0.02597700876448968
combined_strict,full_without_transition,ghostbuster_test,random_forest,21499,670,276,0.9922480620155039,0.9938420831931558,0.9632446134347274,0.7803617571059431,0.9741602067183462,0.05836815920398007,0.037960464344941956
combined_strict,full_without_transition,hc3_plus_test,random_forest,21499,266,276,0.9511387163561076,0.972767194988169,0.8432432432432433,0.7329192546583851,0.8633540372670807,0.16043859649122805,0.13646746031746032
combined_strict,full_without_transition,all_samples,random_forest,21499,300,276,0.6332444444444445,0.6186989044672537,0.6193548387096774,0.02,0.04666666666666667,0.08477777777777777,0.24423022222222224
combined_strict,full_plus_transition,m4_test,random_forest,21499,1965,624,0.9892469862493842,0.9980110796799289,0.9795069795069795,0.8141486810551559,0.9574340527577938,0.0398897370653096,0.02973821317500707
